"name"	"dirs"	"files"	"meansize"	"stdev"
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/sibyte"	0	25	15052.28	13158.4
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/sgi"	0	7	5625.86	4525.48
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/pci"	0	1	29860	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mips-boards"	0	14	3563.29	4141.65
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-yosemite"	0	1	1172	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-wrppmc"	0	1	2491	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-sim"	0	1	1828	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-sibyte"	0	1	1068	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-rm200"	0	3	712	400.92
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-qemu"	0	2	613	212
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-pnx8550"	0	8	4052.75	2729.62
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-pb1x00"	0	6	3992.83	2311.13
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ocelot3"	0	1	1275	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ocelot"	0	1	840	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-mips"	0	4	1116.75	741.41
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-lasat"	0	1	706	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-jmr3927"	0	1	484	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-jazz"	0	3	1270.67	964.62
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ja"	0	2	866	288
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ip32"	0	5	899.4	380.19
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ip27"	0	8	897.75	362.49
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ip22"	0	3	1013.33	342.85
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-generic"	0	12	1252	1403.91
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-excite"	0	6	1197.17	1348.86
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ev96100"	0	1	1139	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-ev64120"	0	1	1720	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-emma2rh"	0	1	347	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-dec"	0	1	1142	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-db1x00"	0	2	6507	78
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-cobalt"	0	3	1825	1649.63
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-au1x00"	0	12	10834.92	16884.29
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/mach-atlas"	0	1	1798	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/lasat"	0	7	1493.86	2543.12
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/jmr3927"	0	4	7683.25	4609.86
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/it8172"	0	5	5456	3034.72
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/ip32"	0	4	4816.75	3870.74
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/galileo-boards"	0	3	7231.33	9142.32
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/emma2rh"	0	2	7736.5	4334.5
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/dec"	0	20	2436.1	1614.16
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/ddb5xxx"	0	2	10024.5	1593.5
"/local/scratch/rgr22/linux-2.6.18/include/asm-mips/arc"	0	2	2782	514
"/local/scratch/rgr22/linux-2.6.18/include/asm-m68knommu"	0	138	4030.62	11056.74
"/local/scratch/rgr22/linux-2.6.18/include/asm-m68k"	0	163	2585.65	3318.62
"/local/scratch/rgr22/linux-2.6.18/include/asm-m32r"	5	101	2350.14	3676.64
"/local/scratch/rgr22/linux-2.6.18/include/asm-m32r/opsput"	0	3	5004	4138.8
"/local/scratch/rgr22/linux-2.6.18/include/asm-m32r/mappi3"	0	1	4575	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-m32r/mappi2"	0	1	4867	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-m32r/m32700ut"	0	3	5723	3872.23
"/local/scratch/rgr22/linux-2.6.18/include/asm-m32r/m32104ut"	0	1	5678	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-ia64"	1	136	3501.06	5988.51
"/local/scratch/rgr22/linux-2.6.18/include/asm-ia64/sn"	1	35	11778.06	22730.53
"/local/scratch/rgr22/linux-2.6.18/include/asm-ia64/sn/sn2"	0	1	7075	0
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386"	8	155	2940.5	3961.9
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-voyager"	0	4	1012.5	794.05
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-visws"	0	10	1425.1	1027.82
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-summit"	0	6	1926.17	2254.69
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-numaq"	0	6	1100.5	1220.42
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-generic"	0	6	484.17	431
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-es7000"	0	6	1437.17	1627.18
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-default"	0	20	1176.2	921.31
"/local/scratch/rgr22/linux-2.6.18/include/asm-i386/mach-bigsmp"	0	4	1090.25	1382.03
"/local/scratch/rgr22/linux-2.6.18/include/asm-h8300"	0	102	1295.86	2200.12
"/local/scratch/rgr22/linux-2.6.18/include/asm-generic"	1	49	2391.69	2578.56
"/local/scratch/rgr22/linux-2.6.18/include/asm-generic/bitops"	0	15	1157.67	1411.64
"/local/scratch/rgr22/linux-2.6.18/include/asm-frv"	0	114	2319.06	3358.24
